id,clean_feedback,valid_num,sentiment
160,corridor feel crowded,1,neutral
161,found journal without delay,1,positive
162,book torn cover,1,negative
163,reading desk feel fine,1,neutral
164,library staff guided nicely,1,positive
165,book issue counter slow,1,negative
166,library temperature feel okay,1,neutral
167,idli sambar tasted nice,1,positive
168,chapati felt hard,1,negative
169,breakfast felt average,1,neutral
170,pasta served hot,1,positive
171,snack tasted stale,1,negative
172,juice counter feel normal,1,neutral
173,practice question cleared doubt,1,positive
174,recorded lecture audio issue,1,negative
175,class flow seems fine,1,neutral
176,weekly test helped revision,1,positive
177,much theory one class,1,negative
178,assignment timing feel okay,1,neutral
179,processed request quickly,1,positive
180,office closed early today,1,negative
181,help desk felt busy,1,neutral
182,reception staff helpful,1,positive
183,reply came late,1,negative
184,office hour seem fine,1,neutral
185,fee receipt downloaded smoothly,1,positive
186,password reset didnt work,1,negative
187,portal speed feel normal,1,neutral
188,website layout feel simple,1,positive
189,page refresh took long,1,negative
190,font size look okay,1,neutral
191,classroom board look clean,1,positive
192,washroom floor slippery,1,negative
193,lab feel average today,1,neutral
194,walking path look neat,1,positive
195,plug point dont work,1,negative
196,seating area feel fine,1,neutral
197,library feel quiet today,1,positive
198,tea tasted bland,1,negative
199,extra tutorial helped revision,1,positive
200,office staff seemed stressed,1,neutral
201,library feel airy today,1,positive
202,book smell damp,1,negative
203,reading desk feel normal,1,neutral
204,found project reference easily,1,positive
205,book renewal took time,1,negative
206,library crowd feel manageable,1,neutral
207,staff suggested good study material,1,positive
208,one corner feel noisy,1,negative
209,library layout look neat,1,positive
210,silence level feel okay,1,neutral
211,upma tasted nice,1,positive
212,sambar thin,1,negative
213,lunch felt average,1,neutral
214,fresh fruit good,1,positive
215,cutlet tasted stale,1,negative
216,serving speed feel fine,1,neutral
217,evening coffee good,1,positive
218,rice portion felt small,1,negative
219,cold drink chilled well,1,positive
220,menu feel repetitive,1,neutral
221,concept explained clearly,1,positive
222,slide much text,1,negative
223,class duration felt okay,1,neutral
224,extra problem helped practice,1,positive
225,topic moved fast,1,negative
226,syllabus pace seems fine,1,neutral
227,mock test useful,1,positive
228,doubt session felt rushed,1,negative
229,revision note helped lot,1,positive
230,assignment load feel normal,1,neutral
231,office staff supportive,1,positive
232,misplaced file,1,negative
233,waiting area feel okay,1,neutral
234,form approval quick,1,positive
235,follow twice,1,negative
236,reception counter busy,1,neutral
237,answered query patiently,1,positive
238,document delayed,1,negative
239,process explained clearly,1,positive
240,office atmosphere feel normal,1,neutral
241,website load quickly,1,positive
242,login page crashed,1,negative
243,portal design feel okay,1,neutral
244,dashboard easy read,1,positive
245,upload button froze,1,negative
246,navigation feel average,1,neutral
247,profile update worked fine,1,positive
248,search take time sometimes,1,negative
249,alert useful,1,positive
250,layout look decent,1,neutral
251,classroom ventilation feel good,1,positive
252,desk shaky,1,negative
253,hall temperature feel normal,1,neutral
254,garden look well maintained,1,positive
255,washroom tap leaking,1,negative
256,parking feel manageable,1,neutral
257,common area feel clean,1,positive
258,stair feel worn,1,negative
259,study room comfortable,1,positive
260,corridor noise feel average,1,neutral
261,found journal easily today,1,positive
262,book cover torn,1,negative
263,reading light feel fine,1,neutral
264,library staff helpful,1,positive
265,book issue counter slow,1,negative
266,library temperature feel okay,1,neutral
267,masala dosa tasted good,1,positive
268,tea lukewarm,1,negative
269,breakfast felt okay,1,neutral
270,pulao flavorful,1,positive
271,snack felt dry,1,negative
272,juice stall feel normal,1,neutral
273,practice worksheet cleared doubt,1,positive
274,audio lecture unclear,1,negative
275,class pace feel fine,1,neutral
276,weekly test improved confidence,1,positive
277,many slide one class,1,negative
278,homework feel manageable,1,neutral
279,processed request fast,1,positive
280,office opened late today,1,negative
281,help desk seemed busy,1,neutral
282,reception guided properly,1,positive
283,reply took long,1,negative
284,office timing feel okay,1,neutral
285,fee payment went smoothly,1,positive
286,password change failed,1,negative
287,portal speed feel average,1,neutral
288,website look clean,1,positive
289,page loading slow,1,negative
290,font size feel fine,1,neutral
291,class board clear,1,positive
292,washroom smell bad,1,negative
293,lab feel normal today,1,neutral
294,campus path look neat,1,positive
295,ceiling fan dont work,1,negative
296,seating feel okay,1,neutral
297,library feel peaceful,1,positive
298,coffee tasted burnt,1,negative
299,extra class helped revision,1,positive
300,office staff looked tired,1,neutral
301,library feel quiet afternoon,1,positive
302,book missing label,1,negative
303,reading table feel okay,1,neutral
304,found exam guide quickly,1,positive
305,book renewal system felt slow,1,negative
306,library crowd seems normal,1,neutral
307,staff helped past paper,1,positive
308,one shelf look messy,1,negative
309,library ambience feel nice,1,positive
310,noise level manageable,1,neutral
311,vegetable pulao tasted good,1,positive
312,tea sweet,1,negative
313,lunch felt normal today,1,neutral
314,fruit salad fresh,1,positive
315,paneer curry felt bland,1,negative
316,serving speed feel okay,1,neutral
317,evening snack crispy,1,positive
318,rice undercooked,1,negative
319,lemon juice refreshing,1,positive
320,menu choice seem average,1,neutral
321,concept explanation clear,1,positive
322,slide hard read,1,negative
323,class duration feel fine,1,neutral
324,practice problem helped lot,1,positive
325,much homework week,1,negative
326,topic coverage feel okay,1,neutral
327,mock exam helped revision,1,positive
328,doubt clearing rushed,1,negative
329,revision class useful,1,positive
330,assignment load feel average,1,neutral
331,office staff responded kindly,1,positive
332,lost application,1,negative
333,waiting area feel normal,1,neutral
334,form approval smooth,1,positive
335,wait long line,1,negative
336,reception desk busy,1,neutral
337,explained procedure clearly,1,positive
338,document delayed,1,negative
339,process felt simple,1,positive
340,office atmosphere seems okay,1,neutral
341,website load quickly today,1,positive
342,login failed twice,1,negative
343,portal design feel normal,1,neutral
344,dashboard look neat,1,positive
345,upload option lagged,1,negative
346,navigation feel okay,1,neutral
347,profile change saved fine,1,positive
348,search take longer sometimes,1,negative
349,alert working properly,1,positive
350,layout feel average,1,neutral
351,classroom lighting feel good,1,positive
352,bench squeak,1,negative
353,hall temperature feel fine,1,neutral
354,garden area look pleasant,1,positive
355,washroom door dont close properly,1,negative
356,parking feel normal,1,neutral
357,common space look clean,1,positive
358,staircase tile feel loose,1,negative
359,study area feel comfortable,1,positive
360,corridor noise manageable,1,neutral
361,found reference material easily,1,positive
362,book page torn,1,negative
363,reading lamp feel okay,1,neutral
364,library staff polite,1,positive
365,book counter moved slowly,1,negative
366,library air feel normal,1,neutral
367,upma tasted fresh,1,positive
368,coffee felt watery,1,negative
369,breakfast felt average,1,neutral
370,noodle flavorful,1,positive
371,snack tasted cold,1,negative
372,juice stall seems okay,1,neutral
373,practice test cleared doubt,1,positive
374,recorded class buffering,1,negative
375,class flow feel normal,1,neutral
376,weekly quiz helped learning,1,positive
377,much content one lecture,1,negative
378,homework load feel fine,1,neutral
379,handled request fast,1,positive
380,office opened late,1,negative
381,help desk felt crowded,1,neutral
382,reception staff friendly,1,positive
383,reply came many day,1,negative
384,office timing feel normal,1,neutral
385,fee page worked smoothly,1,positive
386,password reset failed,1,negative
387,portal speed feel okay,1,neutral
388,website look cleaner,1,positive
389,page refresh slow,1,negative
390,font style feel fine,1,neutral
391,classroom board clear,1,positive
392,washroom smell unpleasant,1,negative
393,lab feel average today,1,neutral
394,campus walkway look clean,1,positive
395,ceiling light dont work,1,negative
396,seating feel normal,1,neutral
397,library feel peaceful today,1,positive
398,tea tasted flat,1,negative
399,extra tutorial helped lot,1,positive
400,office staff seemed busy,1,neutral
401,library feel fresh morning,1,positive
402,reference book outdated,1,negative
403,reading section feel okay today,1,neutral
404,found lab manual quickly,1,positive
405,book return took longer usual,1,negative
406,library crowd seems normal,1,neutral
407,staff helped locate journal,1,positive
408,one study corner feel noisy,1,negative
409,library ambience pleasant,1,positive
410,noise level feel manageable,1,neutral
411,vegetable sandwich tasted good,1,positive
412,tea served cold,1,negative
413,lunch felt average today,1,neutral
414,fruit bowl nicely cut,1,positive
415,dal tasted watery,1,negative
416,serving speed feel fine,1,neutral
417,evening coffee tasted nice,1,positive
418,rice felt undercooked,1,negative
419,lime juice refreshing,1,positive
420,menu variety feel okay,1,neutral
421,faculty explained problem clearly,1,positive
422,slide confusing,1,negative
423,class pace feel normal,1,neutral
424,extra worksheet helped revision,1,positive
425,many topic one lecture,1,negative
426,syllabus progress feel okay,1,neutral
427,mock test helpful,1,positive
428,doubt session ended early,1,negative
429,revision class cleared doubt,1,positive
430,assignment workload feel average,1,neutral
431,office staff cooperative,1,positive
432,misplaced document,1,negative
433,waiting hall felt crowded,1,neutral
434,form verification quick,1,positive
435,wait long approval,1,negative
436,reception area feel busy,1,neutral
437,answered query well,1,positive
438,response delayed,1,negative
439,process felt smooth today,1,positive
440,office atmosphere feel okay,1,neutral
441,website load faster,1,positive
442,login page froze,1,negative
443,portal layout feel average,1,neutral
444,dashboard look simple,1,positive
445,upload option failed,1,negative
446,navigation feel fine,1,neutral
447,profile change saved properly,1,positive
448,search bar responds slowly,1,negative
449,notification useful,1,positive
450,website design feel okay,1,neutral
451,classroom fan work properly,1,positive
452,desk damaged,1,negative
453,hall feel normal today,1,neutral
454,garden area look clean,1,positive
455,washroom tap leaking,1,negative
456,parking feel manageable,1,neutral
457,common space feel tidy,1,positive
458,stair rail feel loose,1,negative
459,study room feel calm,1,positive
460,corridor noise feel average,1,neutral
461,found textbook easily,1,positive
462,book binding weak,1,negative
463,reading light feel fine,1,neutral
464,library staff helpful,1,positive
465,book counter moved slowly,1,negative
466,library temperature feel okay,1,neutral
467,masala dosa crispy,1,positive
468,coffee tasted burnt,1,negative
469,breakfast felt okay,1,neutral
470,fried rice tasty,1,positive
471,snack felt stale,1,negative
472,juice counter feel normal,1,neutral
473,practice paper helped revision,1,positive
474,audio class unclear,1,negative
475,class flow feel fine,1,neutral
476,weekly quiz boosted confidence,1,positive
477,many slide one class,1,negative
478,homework feel manageable,1,neutral
479,processed request fast,1,positive
480,office opened late today,1,negative
481,help desk seemed busy,1,neutral
482,reception guided properly,1,positive
483,reply took longer expected,1,negative
484,office timing feel fine,1,neutral
485,fee receipt downloaded smoothly,1,positive
486,password reset didnt work,1,negative
487,portal speed feel average,1,neutral
488,website layout feel clean,1,positive
489,page loading slow,1,negative
490,font size look okay,1,neutral
491,class board look neat,1,positive
492,washroom smell bad,1,negative
493,lab feel normal today,1,neutral
494,campus path look tidy,1,positive
495,plug point dont work,1,negative
496,seating feel fine,1,neutral
497,library feel peaceful,1,positive
498,tea tasted weak,1,negative
499,extra class helped revision,1,positive
500,office staff looked tired,1,neutral
501,library feel quiet evening,1,positive
502,book faded print,1,negative
503,reading area feel okay,1,neutral
504,found project guide easily,1,positive
505,book renewal system slow,1,negative
506,library crowd feel manageable,1,neutral
507,staff helped reference,1,positive
508,one shelf look dusty,1,negative
509,library lighting feel pleasant,1,positive
510,noise level feel normal,1,neutral
511,vegetable cutlet tasted good,1,positive
512,tea tasted weak,1,negative
513,lunch felt average today,1,neutral
514,fruit juice fresh,1,positive
515,dal salty,1,negative
516,serving speed feel okay,1,neutral
517,evening snack crispy,1,positive
518,rice felt dry,1,negative
519,cold coffee tasted nice,1,positive
520,menu choice feel limited,1,neutral
521,teacher explained problem clearly,1,positive
522,note confusing week,1,negative
523,class duration feel normal,1,neutral
524,extra example helped revision,1,positive
525,much homework assigned,1,negative
526,topic pace feel okay,1,neutral
527,mock exam helped preparation,1,positive
528,doubt clearing felt rushed,1,negative
529,revision worksheet useful,1,positive
530,assignment load feel average,1,neutral
531,office staff helpful today,1,positive
532,misplaced receipt,1,negative
533,waiting hall felt crowded,1,neutral
534,form submission smooth,1,positive
535,approval took longer expected,1,negative
536,reception desk feel busy,1,neutral
537,clarified doubt politely,1,positive
538,response came late,1,negative
539,process felt simple,1,positive
540,office environment feel okay,1,neutral
541,website open quickly,1,positive
542,login failed,1,negative
543,portal layout feel normal,1,neutral
544,dashboard look neat,1,positive
545,upload button lagged,1,negative
546,navigation feel fine,1,neutral
547,profile updated successfully,1,positive
548,search feature slow,1,negative
549,alert helpful,1,positive
550,website design feel average,1,neutral
551,classroom ventilation feel good,1,positive
552,bench shaky,1,negative
553,hall temperature feel normal,1,neutral
554,garden area look nice,1,positive
555,washroom mirror dirty,1,negative
556,parking feel okay,1,neutral
557,common area feel clean,1,positive
558,stair feel worn,1,negative
559,study space feel calm,1,positive
560,corridor noise feel average,1,neutral
561,found reference book easily,1,positive
562,page torn,1,negative
563,reading lamp feel fine,1,neutral
564,library staff guided nicely,1,positive
565,book issue counter slow,1,negative
566,library temperature feel okay,1,neutral
567,idli tasted soft today,1,positive
568,coffee felt watery,1,negative
569,breakfast felt okay,1,neutral
570,pasta served hot,1,positive
571,snack tasted stale,1,negative
572,juice stall feel normal,1,neutral
573,practice test cleared doubt,1,positive
574,recorded lecture buffering,1,negative
575,class flow feel fine,1,neutral
576,weekly quiz helped learning,1,positive
577,many topic one class,1,negative
578,homework feel manageable,1,neutral
579,processed request fast,1,positive
580,office closed early,1,negative
581,help desk seemed crowded,1,neutral
582,reception staff friendly,1,positive
583,reply came late,1,negative
584,office timing feel normal,1,neutral
585,fee page worked smoothly,1,positive
586,password reset failed,1,negative
587,portal speed feel okay,1,neutral
588,website look cleaner,1,positive
589,page loading slow,1,negative
590,font style feel fine,1,neutral
591,classroom board clear,1,positive
592,washroom smell unpleasant,1,negative
593,lab feel average today,1,neutral
594,campus walkway look clean,1,positive
595,ceiling light dont work,1,negative
596,seating feel normal,1,neutral
597,library feel peaceful today,1,positive
598,tea tasted flat,1,negative
599,extra tutorial helped lot,1,positive
600,office staff seemed busy,1,neutral
601,library feel calm morning,1,positive
602,book loose binding,1,negative
603,reading desk feel okay today,1,neutral
604,found reference note quickly,1,positive
605,book issuing took longer,1,negative
606,library crowd feel average,1,neutral
607,staff helped find journal,1,positive
608,one corner feel stuffy,1,negative
609,library ambience feel pleasant,1,positive
610,noise level feel manageable,1,neutral
611,vegetable sandwich tasted fresh,1,positive
612,tea weak,1,negative
613,lunch felt normal today,1,neutral
614,fruit bowl tasted good,1,positive
615,dal felt undercooked,1,negative
616,serving speed feel fine,1,neutral
617,evening snack crunchy,1,positive
618,rice tasted dry,1,negative
619,cold coffee refreshing,1,positive
620,menu variety feel average,1,neutral
621,faculty explained topic clearly,1,positive
622,note hard understand,1,negative
623,class duration feel okay,1,neutral
624,extra worksheet helped practice,1,positive
625,much homework given,1,negative
626,topic pace feel fine,1,neutral
627,mock exam boosted confidence,1,positive
628,doubt clearing felt rushed,1,negative
629,revision session helpful,1,positive
630,assignment load feel normal,1,neutral
631,office staff guided properly,1,positive
632,misplaced application,1,negative
633,waiting hall felt busy,1,neutral
634,form approval quick,1,positive
635,wait long,1,negative
636,reception counter feel crowded,1,neutral
637,answered query politely,1,positive
638,response delayed,1,negative
639,process felt smooth today,1,positive
640,office atmosphere feel okay,1,neutral
641,website open faster,1,positive
642,login page froze,1,negative
643,portal layout feel average,1,neutral
644,dashboard look simple,1,positive
645,upload option failed,1,negative
646,navigation feel fine,1,neutral
647,profile updated correctly,1,positive
648,search take time sometimes,1,negative
649,notification helpful,1,positive
650,website design feel okay,1,neutral
651,classroom fan work well,1,positive
652,desk wobble,1,negative
653,hall temperature feel normal,1,neutral
654,garden area look tidy,1,positive
655,washroom tap leaking,1,negative
656,parking feel manageable,1,neutral
657,common space feel clean,1,positive
658,stair rail feel loose,1,negative
659,study room feel calm,1,positive
660,corridor noise feel average,1,neutral
661,found textbook easily today,1,positive
662,page missing,1,negative
663,reading light feel fine,1,neutral
664,library staff kind,1,positive
665,book counter slow,1,negative
666,library temperature feel okay,1,neutral
667,masala dosa tasted good,1,positive
668,coffee tasted burnt,1,negative
669,breakfast felt okay,1,neutral
670,fried rice flavorful,1,positive
671,snack tasted stale,1,negative
672,juice counter feel normal,1,neutral
673,practice paper cleared doubt,1,positive
674,recorded lecture audio issue,1,negative
675,class flow feel fine,1,neutral
676,weekly quiz helped revision,1,positive
677,many slide one lecture,1,negative
678,homework feel manageable,1,neutral
679,processed request fast,1,positive
680,office opened late today,1,negative
681,help desk seemed busy,1,neutral
682,reception guided properly,1,positive
683,reply came late,1,negative
684,office timing feel fine,1,neutral
685,fee receipt downloaded smoothly,1,positive
686,password reset didnt work,1,negative
687,portal speed feel average,1,neutral
688,website layout feel clean,1,positive
689,page loading slow,1,negative
690,font size look okay,1,neutral
691,class board look neat,1,positive
692,washroom smell bad,1,negative
693,lab feel normal today,1,neutral
694,campus path look tidy,1,positive
695,plug point dont work,1,negative
696,seating feel fine,1,neutral
697,library feel peaceful,1,positive
698,tea tasted weak,1,negative
699,extra class helped revision,1,positive
700,office staff looked tired,1,neutral
701,website load quickly,1,positive
702,payment page crashed,1,negative
703,portal response feel normal,1,neutral
704,dashboard chart look clear,1,positive
705,otp took long,1,negative
706,menu layout feel okay,1,neutral
707,projector work smoothly,1,positive
708,ac cooling properly,1,negative
709,lab seating feel normal,1,neutral
710,waiting area look clean,1,positive
711,drinking water taste odd,1,negative
712,elevator speed feel fine,1,neutral
713,librarian suggested good book,1,positive
714,shelf messy,1,negative
715,study table feel okay,1,neutral
716,quiet zone help focus,1,positive
717,computer terminal slow,1,negative
718,library lighting feel fine,1,neutral
719,idli tasted soft,1,positive
720,sambar salty,1,negative
721,snack quantity feel normal,1,neutral
722,pasta tasted delicious,1,positive
723,milkshake watery,1,negative
724,billing queue feel average,1,neutral
725,teacher explained concept well,1,positive
726,slide confusing,1,negative
727,class timing feel okay,1,neutral
728,group discussion helped learning,1,positive
729,exam instruction unclear,1,negative
730,syllabus pace feel normal,1,neutral
731,certificate issued quickly,1,positive
732,document misplaced,1,negative
733,office crowd feel average,1,neutral
734,staff guided properly,1,positive
735,approval process took long,1,negative
736,reception ambience feel okay,1,neutral
737,website notification work well,1,positive
738,search result lag,1,negative
739,interface feel normal,1,neutral
740,profile page load fast,1,positive
741,file upload failed twice,1,negative
742,text spacing look fine,1,neutral
743,reading room feel fresh,1,positive
744,magazine missing,1,negative
745,library crowd feel okay,1,neutral
746,reference desk helped,1,positive
747,book return counter slow,1,negative
748,library chair feel fine,1,neutral
749,chapati tasted soft,1,positive
750,curry lacked flavor,1,negative
751,lunch buffet satisfying,1,positive
752,soup tasted bland,1,negative
753,meal portion feel normal,1,neutral
754,dessert delicious,1,positive
755,paneer felt rubbery,1,negative
756,table arrangement feel okay,1,neutral
757,faculty cleared doubt,1,positive
758,recorded video blurry,1,negative
759,revision pace feel fine,1,neutral
760,practice test boosted confidence,1,positive
761,assignment deadline sudden,1,negative
762,course outline feel normal,1,neutral
763,staff processed form quickly,1,positive
764,office printer broken,1,negative
765,queue length feel average,1,neutral
766,help desk solved issue,1,positive
767,lost receipt,1,negative
768,office seating feel okay,1,neutral
769,website payment succeeded,1,positive
770,captcha kept refreshing,1,negative
771,page layout feel normal,1,neutral
772,download link worked fine,1,positive
773,server error appeared,1,negative
774,button spacing feel okay,1,neutral
775,classroom light bright,1,positive
776,projector cable loose,1,negative
777,lab temperature feel normal,1,neutral
778,garden bench look clean,1,positive
779,door handle broken,1,negative
780,walkway space feel fine,1,neutral
781,found required journal fast,1,positive
782,rack dusty,1,negative
783,library silence feel okay,1,neutral
784,staff guided patiently,1,positive
785,barcode scanner failed,1,negative
786,reading corner feel fine,1,neutral
787,biryani tasted great,1,positive
788,curd sour,1,negative
789,dinner crowd feel average,1,neutral
790,fresh juice refreshing,1,positive
791,bread felt stale,1,negative
792,counter spacing feel okay,1,neutral
793,online quiz result updated,1,positive
794,lecture audio cracked,1,negative
795,study schedule feel normal,1,neutral
796,extra class useful,1,positive
797,many test week,1,negative
798,course load feel fine,1,neutral
799,office staff smiled today,1,positive
800,reception felt crowded,1,neutral
801,website dashboard load fast,1,positive
802,login failed twice,1,negative
803,portal usage feel normal,1,neutral
804,profile edit saved correctly,1,positive
805,verification email delayed,1,negative
806,menu icon feel okay,1,neutral
807,payment receipt generated,1,positive
808,search bar lagged,1,negative
809,notification arrived time,1,positive
810,font clarity feel normal,1,neutral
811,classroom air feel fresh,1,positive
812,ceiling fan make noise,1,negative
813,lab chair feel okay,1,neutral
814,corridor look clean,1,positive
815,water cooler working,1,negative
816,parking space feel average,1,neutral
817,common hall smell fresh,1,positive
818,washroom mirror cracked,1,negative
819,study area feel calm,1,positive
820,stairway width feel normal,1,neutral
821,library catalog helped search,1,positive
822,book outdated,1,negative
823,reading atmosphere feel okay,1,neutral
824,digital section useful,1,positive
825,printer jammed,1,negative
826,library spacing feel fine,1,neutral
827,found thesis copy easily,1,positive
828,ac cold,1,negative
829,silent zone help focus,1,positive
830,library crowd feel average,1,neutral
831,upma tasted good,1,positive
832,tea lukewarm,1,negative
833,breakfast rush feel normal,1,neutral
834,noodle flavorful,1,positive
835,sauce tasted odd,1,negative
836,table cleanliness feel okay,1,neutral
837,fresh fruit available,1,positive
838,paper cup missing,1,negative
839,milk chilled well,1,positive
840,serving size feel average,1,neutral
841,faculty shared extra note,1,positive
842,slide unreadable,1,negative
843,class engagement feel normal,1,neutral
844,tutorial session helped,1,positive
845,project guideline unclear,1,negative
846,study load feel okay,1,neutral
847,revision worksheet useful,1,positive
848,recorded class missing,1,negative
849,practice problem helped,1,positive
850,topic coverage feel average,1,neutral
851,application approved quickly,1,positive
852,token system confusing,1,negative
853,waiting room feel normal,1,neutral
854,staff responded politely,1,positive
855,file got misplaced,1,negative
856,office lighting feel okay,1,neutral
857,help desk resolved issue,1,positive
858,counter unattended,1,negative
859,process smooth today,1,positive
860,office noise feel average,1,neutral
861,website graph look clean,1,positive
862,session expired suddenly,1,negative
863,navigation speed feel normal,1,neutral
864,report download worked,1,positive
865,attachment upload failed,1,negative
866,color theme feel okay,1,neutral
867,profile alert helpful,1,positive
868,form submit lagged,1,negative
869,homepage load quickly,1,positive
870,button size feel normal,1,neutral
871,classroom window open smoothly,1,positive
872,floor tile cracked,1,negative
873,lab lighting feel okay,1,neutral
874,garden flower look fresh,1,positive
875,handwash dispenser empty,1,negative
876,rest area feel normal,1,neutral
877,notice board updated,1,positive
878,switchboard spark,1,negative
879,reading hall feel peaceful,1,positive
880,entrance space feel average,1,neutral
881,found archive quickly,1,positive
882,cd scratched,1,negative
883,library layout feel normal,1,neutral
884,staff arranged book neatly,1,positive
885,issue slip missing,1,negative
886,desk spacing feel okay,1,neutral
887,reference guide helpful,1,positive
888,scanner working,1,negative
889,quiet corner available,1,positive
890,reading time feel average,1,neutral
891,veg pulao tasted nice,1,positive
892,gravy watery,1,negative
893,lunch crowd feel normal,1,neutral
894,ice cream creamy,1,positive
895,chutney tasted sour,1,negative
896,tray return feel okay,1,neutral
897,fresh salad served,1,positive
898,spoon missing,1,negative
899,cold drink chilled well,1,positive
900,dining space feel average,1,neutral
901,extra handout helpful,1,positive
902,lecture audio kept breaking,1,negative
903,class pace feel normal,1,neutral
904,problem solving session helped,1,positive
905,many topic one class,1,negative
906,daily schedule feel okay,1,neutral
907,faculty cleared doubt patiently,1,positive
908,slide loaded slowly,1,negative
909,practice test improved score,1,positive
910,syllabus coverage feel average,1,neutral
911,reception handled form quickly,1,positive
912,counter closed unexpectedly,1,negative
